 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0005  19250192.50000         -0.0001
0.2          0.0010  38500385.00000         -0.0003
0.3          0.0015  57750577.50000         -0.0004
0.4          0.0020  77000770.00000         -0.0005
0.5          0.0025  96250962.50000         -0.0007
0.6          0.0030 115501155.00000         -0.0008
0.7          0.0035 134751347.50000         -0.0009
0.8          0.0040 154001540.00000         -0.0011
0.9          0.0045 173251732.50000         -0.0012
1.0          0.0050 192501925.00000         -0.0013
1.1          0.0055 211752117.50000         -0.0015
1.2          0.0060 231002310.00000         -0.0016
1.3          0.0065 250252502.50000         -0.0018
1.4          0.0070 269502695.00000         -0.0019
1.5          0.0075 288752887.50000         -0.0020
1.6          0.0080 308003080.00000         -0.0022
1.7          0.0085 327253272.50000         -0.0023
1.8          0.0090 346503465.00000         -0.0024
1.9          0.0095 365753657.50000         -0.0026
2.0          0.0100 385003850.00000         -0.0027
2.1          0.0105 404254042.50000         -0.0028
2.2          0.0110 423504235.00000         -0.0030
2.3          0.0115 442754427.50000         -0.0031
2.4          0.0120 462004620.00000         -0.0032
2.5          0.0125 481254812.50000         -0.0034
2.6          0.0130 500505005.00000         -0.0035
2.7          0.0135 519755197.50000         -0.0036
2.8          0.0140 539005390.00000         -0.0038
2.9          0.0145 558255582.50000         -0.0039
3.0          0.0150 577505775.00000         -0.0040
3.1          0.0155 596755967.50000         -0.0042
3.2          0.0160 616006160.00000         -0.0043
3.3          0.0165 635256352.50000         -0.0045
3.4          0.0170 654506545.00000         -0.0046
3.5          0.0175 673756737.50000         -0.0047
3.6          0.0180 693006930.00000         -0.0049
3.7          0.0185 712257122.50000         -0.0050
3.8          0.0190 731507315.00000         -0.0051
3.9          0.0195 750757507.50000         -0.0053
4.0          0.0200 770007700.00000         -0.0054
4.1          0.0205 789257892.50000         -0.0055
4.2          0.0210 808508085.00000         -0.0057
4.3          0.0215 827758277.50000         -0.0058
4.4          0.0220 847008470.00000         -0.0059
4.5          0.0225 866258662.50000         -0.0061
4.6          0.0230 885508855.00000         -0.0062
4.7          0.0235 904759047.50000         -0.0063
4.8          0.0240 924009240.00000         -0.0065
4.9          0.0245 943259432.50000         -0.0066
5.0          0.0250 962509625.00000         -0.0067
5.1          0.0255 981759817.50000         -0.0069
5.2          0.0260 1001010010.00000         -0.0070
5.3          0.0265 1020260202.50000         -0.0072
5.4          0.0270 1039510395.00000         -0.0073
5.5          0.0275 1058760587.50000         -0.0074
5.6          0.0280 1078010780.00000         -0.0076
5.7          0.0285 1097260972.50000         -0.0077
5.8          0.0290 1116511165.00000         -0.0078
5.9          0.0295 1089730845.71126         -0.0080
6.0          0.0300 1054153829.63228         -0.0081
6.1          0.0305 1019455082.39643         -0.0082
6.2          0.0310 985633559.49651         -0.0084
6.3          0.0315 952686229.28472         -0.0085
6.4          0.0320 920608269.28499         -0.0086
6.5          0.0325 889393248.08349         -0.0088
6.6          0.0330 859033293.73681         -0.0089
6.7          0.0335 829519249.58048         -0.0090
6.8          0.0340 800840818.26605         -0.0092
6.9          0.0345 772986694.80454         -0.0093
7.0          0.0350 745944689.34574         -0.0094
7.1          0.0355 719701840.37835         -0.0096
7.2          0.0360 694244518.99305         -0.0097
7.3          0.0365 669558524.81117         -0.0099
7.4          0.0370 645629174.14370         -0.0100
7.5          0.0375 622441380.91057         -0.0101
7.6          0.0380 599979730.81650         -0.0103
7.7          0.0385 578228549.24874         -0.0104
7.8          0.0390 557171963.33276         -0.0105
7.9          0.0395 536793958.55401         -0.0107
8.0          0.0400 517078430.32842         -0.0108
8.1          0.0405 498009230.87952         -0.0109
8.2          0.0410 479570211.75732         -0.0111
8.3          0.0415 461745262.31261         -0.0112
8.4          0.0420 444518344.42005         -0.0113
8.5          0.0425 427873523.72436         -0.0115
8.6          0.0430 411794997.66631         -0.0116
8.7          0.0435 396267120.52810         -0.0117
8.8          0.0440 381274425.72238         -0.0119
8.9          0.0445 366801645.53404         -0.0120
9.0          0.0450 352833728.51037         -0.0121
9.1          0.0455 339355854.68187         -0.0123
9.2          0.0460 326353448.78402         -0.0124
9.3          0.0465 313812191.63881         -0.0126
9.4          0.0470 301718029.84406         -0.0127
9.5          0.0475 290057183.90844         -0.0128
9.6          0.0480 278816154.96094         -0.0130
9.7          0.0485 267981730.15424         -0.0131
9.8          0.0490 257540986.87371         -0.0132
9.9          0.0495 247481295.85538         -0.0134
10.0          0.0500 237790323.30954         -0.0135
